,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,forecast_week_1,forecast_week_2,forecast_week_3,forecast_week_4,forecast_week_5,forecast_week_6,forecast_week_7,forecast_week_8,forecast_week_9,forecast_week_10,forecast_week_11,forecast_week_12,forecast_week_13,Mean Forecasted Revenue,Value Score,Stability Trend Score,Farmer Rating,Eligibility,Credit Score,Default Probability,Risk Category,Recommended Loan Amount,Loan Amt.
40,0,0,0,1174,3004,5460,4398,4126,1852,5258,4829,3903,1749,4634,5650,6493,10230,11639,9693,10459,12953,15751,17420,11159,7002,9734,9439,9616,8407,7664,7374,5297,5675,4692,3217,3679,2328,9594,15519,17956,17959,14895,13854,3784,0,0,0,0,5594,11868,6102,12587,10764.835705730138,11912.466924575572,11156.225071099414,11640.18095560881,11324.499579202693,11527.89795228802,11395.793280005422,11481.151570328153,11425.813034987794,11461.611862346808,11438.42086427084,11453.430688499779,11443.710219022487,11417.38751599738,0.045077005496347126,0.062109442272098234,0.10718644776844535,False,486.27615201472696,0.9067410571436081,High Risk,14842.603770796593,0
43,16751,7644,6756,6455,8283,9646,12433,12119,7517,22686,15076,14892,15685,17261,17061,17225,16537,17444,16736,17949,20886,18917,34234,38104,41132,46513,45527,49257,43349,47059,48754,45263,43285,40447,17217,6816,4305,3737,7256,4974,2653,2944,8804,2026,1829,1788,2119,4248,4697,4645,3606,6886,6416.203357722883,6309.030928477876,6283.800803682545,6277.813779203906,6276.3903895297935,6276.051832466072,6275.971297143525,6275.9521390638065,6275.947581632009,6275.9464974829325,6275.946239578984,6275.9461782272265,6275.946163632493,6290.07286060339,0.02483226442225847,-0.17206983455249533,-0.14723757013023686,False,368.4724041855354,0.9903447558359035,High Risk,8177.0947187844085,0
45,4387,2531,2286,1938,1125,2578,2893,704,882,7917,13253,6461,9569,28743,38571,34151,39176,42279,38568,43092,44443,32674,32673,36008,37535,36377,33809,36315,33738,26913,25206,25582,23531,20129,23424,20446,20110,16233,14754,14796,12735,16927,34448,25185,18638,16228,21590,16546,16140,19578,18225,21962,23218.882305818726,22870.485344674355,22964.68851633349,22939.03773952343,22946.008965700625,22944.11338365492,22944.628748626616,22944.48862743529,22944.526724211606,22944.516366260337,22944.519182432246,22944.518416757102,22944.518624932763,22961.148688181653,0.09065650893215313,-0.10719644528823481,-0.016539936356081683,False,428.9881967516835,0.9683310116046016,High Risk,29849.493294636148,0
47,5971,6220,6501,5615,4452,4991,4779,5270,4241,8967,5588,6021,5640,5624,6351,7627,6107,6257,10165,8357,9135,7652,5998,8219,10151,10199,12149,8785,6842,5142,4918,4807,3401,3333,2411,2475,2089,1575,101,500,742,1181,1235,1445,976,2587,3147,4224,5124,4556,3692,5214,4855.350731928174,4827.301396387237,4825.034289443674,4824.850520609023,4824.835621062364,4824.834413019164,4824.8343150718465,4824.834307130346,4824.834306486452,4824.834306434249,4824.834306430014,4824.834306429672,4824.834306429646,4827.3882405278355,0.0190569856658963,-0.14948733418557741,-0.1304303485196811,False,376.2545063340351,0.9887370503275068,High Risk,6275.604712686187,0
48,1592,3749,2874,2288,2051,2612,4314,2549,1484,4209,4105,4169,4414,5188,6583,7504,8854,6665,9091,10301,11697,8959,9939,9069,7828,8341,10848,12006,10160,11732,9712,8230,8727,8978,6600,7817,8112,8219,8887,7112,4579,4327,4984,4770,5696,2619,1332,4685,5777,5270,3414,2248,2750.7771978186565,2928.661904065172,2986.320681259419,3004.4909152557543,3010.166850845989,3011.9350257750275,3012.4853807398185,3012.656636576967,3012.709922444912,3012.7265017970626,3012.7316602515025,3012.733265234969,3012.7337646035244,2983.163823589906,0.011775231314397155,0.18549597431485348,0.19727120562925063,False,527.9873166521559,0.8084939301462482,High Risk,3878.112970666878,0
49,50934,34179,39613,43930,33415,34686,32167,35740,1126,46060,33556,29380,34129,30861,35340,33626,41324,35086,39472,38529,39340,46572,38519,41755,34771,30569,35726,42826,39989,45858,43999,40727,39923,42378,42061,39263,28652,20379,32347,24027,16973,19412,16729,0,6660,12834,23187,23694,27947,30966,23940,30225,19385.89717643519,18109.65278218825,17921.54255462616,17892.873641156388,17888.482008510993,17887.808752416306,17887.70552700224,17887.689699916544,17887.687273214247,17887.686901137742,17887.68684408874,17887.68683534165,17887.686834000495,18023.08360231038,0.07115900277358493,-0.15896205610233893,-0.087803053328754,False,395.9918533612023,0.9833763076202401,High Risk,23430.008683003492,0
50,7456,3380,923,1051,2165,8438,0,8245,0,3124,2317,976,21367,55369,35013,79673,48690,58838,82771,104721,25383,0,66057,139156,206733,111726,195371,132499,132115,130778,154354,126919,81701,71183,47851,56961,46895,27204,18641,17767,13492,13417,24337,15668,27458,31771,15403,25189,18378,14008,3143,9020,7851.738725959356,8158.93927250071,8072.825986120486,8096.542133602931,8089.978447465447,8091.792556120638,8091.29097469866,8091.429642178766,8091.391304992366,8091.401903931852,8091.398973676021,8091.3997837942525,8091.399559823487,8077.040712681923,0.031887946373626914,0.10572649066604545,0.13761443703967235,False,500.36496015737805,0.8800285758174139,High Risk,10500.1529264865,0
52,1794,3367,2296,3007,419,4628,135563,201426,0,0,60663,239044,152303,264802,200783,593077,151934,125941,77415,31180,185670,71180,80895,99636,97008,21412,110954,209800,207689,181537,166761,135322,129508,35398,5479,984,2330,14391,0,2361,32923,65538,18908,37917,42883,22700,18451,30277,10843,7811,11439,23230,20335.56466364856,19073.576447504107,18494.419706922647,18221.980090832167,18092.292241809813,18030.204371120042,18000.39817822252,17986.070364180043,17979.178615334742,17975.862636012927,17974.266910715058,17973.49895668761,17973.129360803334,18316.18788798412,0.07231629870137203,-0.21364661203302981,-0.1413303133316578,False,371.20759010080235,0.9898073978413694,High Risk,23811.044254379358,0
55,704,704,705,716,520,1422,734,787,573,1274,575,247,0,0,475,132,0,0,0,1264,1444,1041,1347,450,991,801,2232,1368,1010,1454,851,511,738,773,859,658,717,671,590,858,611,126,228,0,2319,2482,1680,968,986,1042,1509,1689,858.4986567219788,596.0849472287032,489.7505096334301,440.5683434152233,416.15753746301203,403.5748709884103,396.9560626758737,393.4361793374807,391.5532745869167,390.54285409244085,389.9997092471503,389.70747739614643,389.5501682447553,457.4138916178095,0.001802534722258126,-0.21295466670303978,-0.21115213198078164,False,338.878598580857,0.994634725544868,High Risk,594.6380591031524,0
56,1209,421,791,664,574,763,1063,1063,658,1229,1048,999,941,1111,1059,1058,1111,940,669,858,797,599,770,785,1646,2545,2922,3276,3277,2974,3030,3202,3055,2728,2421,1917,2257,2073,1889,1664,1396,1537,1667,2085,1952,2074,1661,1659,1637,1595,1044,1281,1290.624847306309,1298.211406337776,1304.8793940510725,1310.7359797089478,1315.87679218026,1320.3869279370301,1324.341932022427,1327.8087334857971,1330.8465237423673,1333.5075714801462,1335.8379714930547,1337.8783274858945,1339.6643707305184,1320.8154444585848,0.005211598151170007,0.2932771769979675,0.2984887751491375,False,574.8532105802706,0.6231490039299998,High Risk,1717.0600777961604,0
